Model,BarChartType,SamplingMethod,DownSamplingLevel,SamplingTarget,Avg_Error
VGG19,1,IID,2,Ratio,0.010082671344430149
VGG19,1,IID,4,Ratio,0.009591094074159992
VGG19,1,IID,8,Ratio,0.018716320183130172
VGG19,1,IID,16,Ratio,0.13992319546150084
VGG19,1,COV,2,Ratio,0.009654286694734025
VGG19,1,COV,4,Ratio,0.009576181401967603
VGG19,1,COV,8,Ratio,0.00936829407993637
VGG19,1,COV,16,Ratio,0.058031602055014175
VGG19,1,ADV,2,Ratio,0.011206322388804665
VGG19,1,ADV,4,Ratio,0.051717713809316
VGG19,1,ADV,8,Ratio,0.10808311856116357
VGG19,1,ADV,16,Ratio,0.2720258222536049
VGG19,1,OOD,2,Ratio,0.04734922280300646
VGG19,1,OOD,4,Ratio,0.21336925870362625
VGG19,1,OOD,8,Ratio,0.32178205839999563
VGG19,1,OOD,16,Ratio,0.3856498425999996
VGG19,1,IID,2,Height,0.009333052134647066
VGG19,1,IID,4,Height,0.014027697290062249
VGG19,1,IID,8,Height,0.02674139257803808
VGG19,1,IID,16,Height,0.04099210718072668
VGG19,1,COV,2,Height,0.010247661900057251
VGG19,1,COV,4,Height,0.010146666739038357
VGG19,1,COV,8,Height,0.015163233260017046
VGG19,1,COV,16,Height,0.030195640130275776
VGG19,1,ADV,2,Height,0.014115163353462206
VGG19,1,ADV,4,Height,0.030805119680551038
VGG19,1,ADV,8,Height,0.1641906621142334
VGG19,1,ADV,16,Height,0.18361252755241797
VGG19,1,OOD,2,Height,0.041133220030482885
VGG19,1,OOD,4,Height,0.11516688724767858
VGG19,1,OOD,8,Height,0.18858888096500254
VGG19,1,OOD,16,Height,0.22350115446162425
ResNet50,1,IID,2,Ratio,0.014897696982267348
ResNet50,1,IID,4,Ratio,0.01739025112154397
ResNet50,1,IID,8,Ratio,0.03212612999378674
ResNet50,1,IID,16,Ratio,0.16252121920328108
ResNet50,1,COV,2,Ratio,0.015000563738673822
ResNet50,1,COV,4,Ratio,0.017519193754347694
ResNet50,1,COV,8,Ratio,0.017595540258656617
ResNet50,1,COV,16,Ratio,0.11865970442848696
ResNet50,1,ADV,2,Ratio,0.01737619987123866
ResNet50,1,ADV,4,Ratio,0.09163474910613877
ResNet50,1,ADV,8,Ratio,0.20284782901191337
ResNet50,1,ADV,16,Ratio,0.29968783646201086
ResNet50,1,OOD,2,Ratio,0.07831471242331288
ResNet50,1,OOD,4,Ratio,0.21602988499999837
ResNet50,1,OOD,8,Ratio,0.3141115675999942
ResNet50,1,OOD,16,Ratio,0.3893204386999955
ResNet50,1,IID,2,Height,0.019943556538150966
ResNet50,1,IID,4,Height,0.027620853705904506
ResNet50,1,IID,8,Height,0.041763863129462925
ResNet50,1,IID,16,Height,0.07130702462665488
ResNet50,1,COV,2,Height,0.02107522450548571
ResNet50,1,COV,4,Height,0.020034252995601912
ResNet50,1,COV,8,Height,0.027095451131222185
ResNet50,1,COV,16,Height,0.06315404079676677
ResNet50,1,ADV,2,Height,0.025856443597441454
ResNet50,1,ADV,4,Height,0.04566697418090214
ResNet50,1,ADV,8,Height,0.16676970895476012
ResNet50,1,ADV,16,Height,0.19900519829594374
ResNet50,1,OOD,2,Height,0.05832258346556199
ResNet50,1,OOD,4,Height,0.14196512255945434
ResNet50,1,OOD,8,Height,0.18376712063892522
ResNet50,1,OOD,16,Height,0.22735930240934957
VGG19,2,IID,2,Ratio,0.007632092911225393
VGG19,2,IID,4,Ratio,0.009193782793751918
