Model,BarChartType,SamplingMethod,DownSamplingLevel,SamplingTarget,Avg_Error
VGG19,1,IID,2,Ratio,0.009059999999999957
VGG19,1,IID,4,Ratio,0.007989999999999997
VGG19,1,IID,8,Ratio,0.011759999999999993
VGG19,1,IID,16,Ratio,0.09530000000000002
VGG19,1,COV,2,Ratio,0.00807999999999999
VGG19,1,COV,4,Ratio,0.008469999999999978
VGG19,1,COV,8,Ratio,0.008260000000000045
VGG19,1,COV,16,Ratio,0.04421999999999998
VGG19,1,ADV,2,Ratio,0.009299999999999975
VGG19,1,ADV,4,Ratio,0.017610000000000015
VGG19,1,ADV,8,Ratio,0.0766
VGG19,1,ADV,16,Ratio,0.19978000000000007
VGG19,1,OOD,2,Ratio,0.009170000000000011
VGG19,1,OOD,4,Ratio,0.13881
VGG19,1,OOD,8,Ratio,0.28403
VGG19,1,OOD,16,Ratio,0.35806
VGG19,1,IID,2,Height,0.007410000000000028
VGG19,1,IID,4,Height,0.009199999999999986
VGG19,1,IID,8,Height,0.012179999999999969
VGG19,1,IID,16,Height,0.018000000000000016
VGG19,1,COV,2,Height,0.009129999999999971
VGG19,1,COV,4,Height,0.008460000000000023
VGG19,1,COV,8,Height,0.010730000000000017
VGG19,1,COV,16,Height,0.02322000000000002
VGG19,1,ADV,2,Height,0.00989000000000001
VGG19,1,ADV,4,Height,0.016619999999999982
VGG19,1,ADV,8,Height,0.06162999999999996
VGG19,1,ADV,16,Height,0.11425000000000007
VGG19,1,OOD,2,Height,0.018390000000000017
VGG19,1,OOD,4,Height,0.07105000000000006
VGG19,1,OOD,8,Height,0.14429000000000003
VGG19,1,OOD,16,Height,0.17715000000000003
ResNet50,1,IID,2,Ratio,0.012709999999999999
ResNet50,1,IID,4,Ratio,0.014570000000000027
ResNet50,1,IID,8,Ratio,0.02071999999999996
ResNet50,1,IID,16,Ratio,0.13153000000000004
ResNet50,1,COV,2,Ratio,0.012759999999999994
ResNet50,1,COV,4,Ratio,0.015149999999999997
ResNet50,1,COV,8,Ratio,0.01469999999999999
ResNet50,1,COV,16,Ratio,0.10206000000000004
ResNet50,1,ADV,2,Ratio,0.01468999999999998
ResNet50,1,ADV,4,Ratio,0.04474
ResNet50,1,ADV,8,Ratio,0.16968
ResNet50,1,ADV,16,Ratio,0.23285999999999996
ResNet50,1,OOD,2,Ratio,0.017679999999999974
ResNet50,1,OOD,4,Ratio,0.15587999999999996
ResNet50,1,OOD,8,Ratio,0.28448
ResNet50,1,OOD,16,Ratio,0.36734
ResNet50,1,IID,2,Height,0.015960000000000002
ResNet50,1,IID,4,Height,0.018930000000000002
ResNet50,1,IID,8,Height,0.026270000000000016
ResNet50,1,IID,16,Height,0.040609999999999924
ResNet50,1,COV,2,Height,0.01791999999999999
ResNet50,1,COV,4,Height,0.016249999999999987
ResNet50,1,COV,8,Height,0.020730000000000026
ResNet50,1,COV,16,Height,0.047680000000000056
ResNet50,1,ADV,2,Height,0.018629999999999924
ResNet50,1,ADV,4,Height,0.03064
ResNet50,1,ADV,8,Height,0.09193000000000007
ResNet50,1,ADV,16,Height,0.13507999999999998
ResNet50,1,OOD,2,Height,0.03280000000000005
ResNet50,1,OOD,4,Height,0.09975999999999996
ResNet50,1,OOD,8,Height,0.15471999999999997
ResNet50,1,OOD,16,Height,0.18398999999999993
VGG19,2,IID,2,Ratio,0.006479999999999986
VGG19,2,IID,4,Ratio,0.008219999999999894
VGG19,2,IID,8,Ratio,0.012310000000000043
VGG19,2,IID,16,Ratio,0.09497999999999998
VGG19,2,COV,2,Ratio,0.007390000000000008
VGG19,2,COV,4,Ratio,0.007269999999999999
VGG19,2,COV,8,Ratio,0.008480000000000015
VGG19,2,COV,16,Ratio,0.06507000000000002
VGG19,2,ADV,2,Ratio,0.00717000000000001
VGG19,2,ADV,4,Ratio,0.01649999999999996
VGG19,2,ADV,8,Ratio,0.06688
VGG19,2,ADV,16,Ratio,0.21228999999999998
VGG19,2,OOD,2,Ratio,0.008539999999999992
VGG19,2,OOD,4,Ratio,0.16289
VGG19,2,OOD,8,Ratio,0.27373000000000003
VGG19,2,OOD,16,Ratio,0.35531
VGG19,2,IID,2,Height,0.008689999999999976
VGG19,2,IID,4,Height,0.00990000000000002
VGG19,2,IID,8,Height,0.014450000000000005
VGG19,2,IID,16,Height,0.021120000000000028
VGG19,2,COV,2,Height,0.007309999999999928
VGG19,2,COV,4,Height,0.009330000000000005
VGG19,2,COV,8,Height,0.010440000000000005
VGG19,2,COV,16,Height,0.02317999999999998
VGG19,2,ADV,2,Height,0.008680000000000007
VGG19,2,ADV,4,Height,0.015270000000000006
VGG19,2,ADV,8,Height,0.11009000000000002
VGG19,2,ADV,16,Height,0.16988000000000003
VGG19,2,OOD,2,Height,0.02167999999999999
VGG19,2,OOD,4,Height,0.10282000000000002
VGG19,2,OOD,8,Height,0.15195000000000003
VGG19,2,OOD,16,Height,0.22275
ResNet50,2,IID,2,Ratio,0.011789999999999967
ResNet50,2,IID,4,Ratio,0.011809999999999987
ResNet50,2,IID,8,Ratio,0.01971999999999996
ResNet50,2,IID,16,Ratio,0.13964
ResNet50,2,COV,2,Ratio,0.012600000000000056
ResNet50,2,COV,4,Ratio,0.01195999999999997
ResNet50,2,COV,8,Ratio,0.015610000000000013
ResNet50,2,COV,16,Ratio,0.10732
ResNet50,2,ADV,2,Ratio,0.01417999999999997
ResNet50,2,ADV,4,Ratio,0.04181999999999997
ResNet50,2,ADV,8,Ratio,0.12410000000000004
ResNet50,2,ADV,16,Ratio,0.2409
ResNet50,2,OOD,2,Ratio,0.014759999999999995
ResNet50,2,OOD,4,Ratio,0.17119
ResNet50,2,OOD,8,Ratio,0.29018999999999995
ResNet50,2,OOD,16,Ratio,0.36546999999999996
ResNet50,2,IID,2,Height,0.015179999999999971
ResNet50,2,IID,4,Height,0.01761999999999997
ResNet50,2,IID,8,Height,0.03474000000000002
ResNet50,2,IID,16,Height,0.05727000000000004
ResNet50,2,COV,2,Height,0.014390000000000014
ResNet50,2,COV,4,Height,0.01591999999999999
ResNet50,2,COV,8,Height,0.02403000000000005
ResNet50,2,COV,16,Height,0.05631
ResNet50,2,ADV,2,Height,0.015509999999999968
ResNet50,2,ADV,4,Height,0.039569999999999994
ResNet50,2,ADV,8,Height,0.11093999999999998
ResNet50,2,ADV,16,Height,0.15998999999999997
ResNet50,2,OOD,2,Height,0.046949999999999936
ResNet50,2,OOD,4,Height,0.13239999999999996
ResNet50,2,OOD,8,Height,0.18592999999999993
ResNet50,2,OOD,16,Height,0.20720000000000005
VGG19,3,IID,2,Ratio,0.008720000000000006
VGG19,3,IID,4,Ratio,0.011140000000000039
VGG19,3,IID,8,Ratio,0.011279999999999957
VGG19,3,IID,16,Ratio,0.05627000000000004
VGG19,3,COV,2,Ratio,0.007559999999999983
VGG19,3,COV,4,Ratio,0.006770000000000054
VGG19,3,COV,8,Ratio,0.009649999999999936
VGG19,3,COV,16,Ratio,0.10157000000000005
VGG19,3,ADV,2,Ratio,0.011179999999999995
VGG19,3,ADV,4,Ratio,0.016180000000000028
VGG19,3,ADV,8,Ratio,0.048089999999999966
VGG19,3,ADV,16,Ratio,0.16579
VGG19,3,OOD,2,Ratio,0.010249999999999981
VGG19,3,OOD,4,Ratio,0.15648
VGG19,3,OOD,8,Ratio,0.2828
VGG19,3,OOD,16,Ratio,0.36156999999999995
VGG19,3,IID,2,Height,0.010000000000000009
VGG19,3,IID,4,Height,0.009709999999999996
VGG19,3,IID,8,Height,0.015900000000000025
VGG19,3,IID,16,Height,0.03968000000000005
VGG19,3,COV,2,Height,0.01051000000000002
VGG19,3,COV,4,Height,0.01097999999999999
VGG19,3,COV,8,Height,0.01149
VGG19,3,COV,16,Height,0.033340000000000036
VGG19,3,ADV,2,Height,0.009530000000000038
VGG19,3,ADV,4,Height,0.017289999999999917
VGG19,3,ADV,8,Height,0.11547000000000007
VGG19,3,ADV,16,Height,0.19667999999999997
VGG19,3,OOD,2,Height,0.019689999999999985
VGG19,3,OOD,4,Height,0.09421999999999997
VGG19,3,OOD,8,Height,0.17064000000000001
VGG19,3,OOD,16,Height,0.23521999999999998
ResNet50,3,IID,2,Ratio,0.015500000000000014
ResNet50,3,IID,4,Ratio,0.015270000000000006
ResNet50,3,IID,8,Ratio,0.020560000000000023
ResNet50,3,IID,16,Ratio,0.13313999999999998
ResNet50,3,COV,2,Ratio,0.014869999999999939
ResNet50,3,COV,4,Ratio,0.015260000000000051
ResNet50,3,COV,8,Ratio,0.01693
ResNet50,3,COV,16,Ratio,0.14378999999999997
ResNet50,3,ADV,2,Ratio,0.01754
ResNet50,3,ADV,4,Ratio,0.04849999999999999
ResNet50,3,ADV,8,Ratio,0.14354
ResNet50,3,ADV,16,Ratio,0.22856999999999994
ResNet50,3,OOD,2,Ratio,0.01851999999999998
ResNet50,3,OOD,4,Ratio,0.1669
ResNet50,3,OOD,8,Ratio,0.27913999999999994
ResNet50,3,OOD,16,Ratio,0.36454
ResNet50,3,IID,2,Height,0.019510000000000027
ResNet50,3,IID,4,Height,0.023349999999999982
ResNet50,3,IID,8,Height,0.035290000000000044
ResNet50,3,IID,16,Height,0.06684000000000001
ResNet50,3,COV,2,Height,0.01683000000000001
ResNet50,3,COV,4,Height,0.01943000000000006
ResNet50,3,COV,8,Height,0.030429999999999985
ResNet50,3,COV,16,Height,0.08118000000000003
ResNet50,3,ADV,2,Height,0.02055999999999991
ResNet50,3,ADV,4,Height,0.043300000000000005
ResNet50,3,ADV,8,Height,0.1442
ResNet50,3,ADV,16,Height,0.19263000000000002
ResNet50,3,OOD,2,Height,0.041650000000000076
ResNet50,3,OOD,4,Height,0.12568000000000001
ResNet50,3,OOD,8,Height,0.17923999999999995
ResNet50,3,OOD,16,Height,0.20428999999999997
VGG19,4,IID,2,Ratio,0.007229999999999959
VGG19,4,IID,4,Ratio,0.008440000000000003
VGG19,4,IID,8,Ratio,0.014059999999999961
VGG19,4,IID,16,Ratio,0.08840999999999999
VGG19,4,COV,2,Ratio,0.00759999999999994
VGG19,4,COV,4,Ratio,0.007450000000000012
VGG19,4,COV,8,Ratio,0.00875999999999999
VGG19,4,COV,16,Ratio,0.07545999999999997
VGG19,4,ADV,2,Ratio,0.009709999999999996
VGG19,4,ADV,4,Ratio,0.015369999999999995
VGG19,4,ADV,8,Ratio,0.08290999999999998
VGG19,4,ADV,16,Ratio,0.17077
VGG19,4,OOD,2,Ratio,0.010909999999999975
VGG19,4,OOD,4,Ratio,0.1572
VGG19,4,OOD,8,Ratio,0.27610999999999997
VGG19,4,OOD,16,Ratio,0.35247999999999996
VGG19,4,IID,2,Height,0.009610000000000007
VGG19,4,IID,4,Height,0.010889999999999955
VGG19,4,IID,8,Height,0.015490000000000004
VGG19,4,IID,16,Height,0.04110999999999998
VGG19,4,COV,2,Height,0.00878000000000001
VGG19,4,COV,4,Height,0.00852
VGG19,4,COV,8,Height,0.016290000000000027
VGG19,4,COV,16,Height,0.04486000000000001
VGG19,4,ADV,2,Height,0.010919999999999985
VGG19,4,ADV,4,Height,0.022199999999999998
VGG19,4,ADV,8,Height,0.14042
VGG19,4,ADV,16,Height,0.23174
VGG19,4,OOD,2,Height,0.02129000000000003
VGG19,4,OOD,4,Height,0.10236999999999996
VGG19,4,OOD,8,Height,0.16098999999999997
VGG19,4,OOD,16,Height,0.20156000000000002
ResNet50,4,IID,2,Ratio,0.013670000000000015
ResNet50,4,IID,4,Ratio,0.014149999999999996
ResNet50,4,IID,8,Ratio,0.020000000000000018
ResNet50,4,IID,16,Ratio,0.14051999999999998
ResNet50,4,COV,2,Ratio,0.01265000000000005
ResNet50,4,COV,4,Ratio,0.014100000000000001
ResNet50,4,COV,8,Ratio,0.01532
ResNet50,4,COV,16,Ratio,0.09140000000000001
ResNet50,4,ADV,2,Ratio,0.017320000000000002
ResNet50,4,ADV,4,Ratio,0.03732000000000002
ResNet50,4,ADV,8,Ratio,0.13875
ResNet50,4,ADV,16,Ratio,0.23411000000000004
ResNet50,4,OOD,2,Ratio,0.018480000000000024
ResNet50,4,OOD,4,Ratio,0.19229000000000002
ResNet50,4,OOD,8,Ratio,0.30684999999999996
ResNet50,4,OOD,16,Ratio,0.36456
ResNet50,4,IID,2,Height,0.015790000000000026
ResNet50,4,IID,4,Height,0.01858000000000004
ResNet50,4,IID,8,Height,0.027800000000000047
ResNet50,4,IID,16,Height,0.05435000000000001
ResNet50,4,COV,2,Height,0.014909999999999979
ResNet50,4,COV,4,Height,0.015780000000000016
ResNet50,4,COV,8,Height,0.02290000000000003
ResNet50,4,COV,16,Height,0.06778
ResNet50,4,ADV,2,Height,0.016530000000000045
ResNet50,4,ADV,4,Height,0.03624000000000005
ResNet50,4,ADV,8,Height,0.12167
ResNet50,4,ADV,16,Height,0.1841100000000001
ResNet50,4,OOD,2,Height,0.029799999999999993
ResNet50,4,OOD,4,Height,0.12185000000000001
ResNet50,4,OOD,8,Height,0.14705999999999997
ResNet50,4,OOD,16,Height,0.19858999999999993
VGG19,5,IID,2,Ratio,0.009000000000000008
VGG19,5,IID,4,Ratio,0.009709999999999996
VGG19,5,IID,8,Ratio,0.013660000000000005
VGG19,5,IID,16,Ratio,0.09144999999999998
VGG19,5,COV,2,Ratio,0.007160000000000055
VGG19,5,COV,4,Ratio,0.007759999999999989
VGG19,5,COV,8,Ratio,0.009029999999999982
VGG19,5,COV,16,Ratio,0.08018000000000003
VGG19,5,ADV,2,Ratio,0.009209999999999996
VGG19,5,ADV,4,Ratio,0.029679999999999984
VGG19,5,ADV,8,Ratio,0.07927999999999999
VGG19,5,ADV,16,Ratio,0.17336
VGG19,5,OOD,2,Ratio,0.009970000000000034
VGG19,5,OOD,4,Ratio,0.13943
VGG19,5,OOD,8,Ratio,0.26975
VGG19,5,OOD,16,Ratio,0.35107
VGG19,5,IID,2,Height,0.008819999999999995
VGG19,5,IID,4,Height,0.011169999999999985
VGG19,5,IID,8,Height,0.01633000000000001
VGG19,5,IID,16,Height,0.05347000000000002
VGG19,5,COV,2,Height,0.011640000000000011
VGG19,5,COV,4,Height,0.010660000000000003
VGG19,5,COV,8,Height,0.01715
VGG19,5,COV,16,Height,0.03824999999999998
VGG19,5,ADV,2,Height,0.01040000000000002
VGG19,5,ADV,4,Height,0.023329999999999962
VGG19,5,ADV,8,Height,0.06881999999999999
VGG19,5,ADV,16,Height,0.197
VGG19,5,OOD,2,Height,0.029329999999999995
VGG19,5,OOD,4,Height,0.16735
VGG19,5,OOD,8,Height,0.22614999999999996
VGG19,5,OOD,16,Height,0.2729999999999999
ResNet50,5,IID,2,Ratio,0.014979999999999993
ResNet50,5,IID,4,Ratio,0.015119999999999911
ResNet50,5,IID,8,Ratio,0.027220000000000022
ResNet50,5,IID,16,Ratio,0.13504
ResNet50,5,COV,2,Ratio,0.014509999999999967
ResNet50,5,COV,4,Ratio,0.01326000000000005
ResNet50,5,COV,8,Ratio,0.01709000000000005
ResNet50,5,COV,16,Ratio,0.09772000000000003
ResNet50,5,ADV,2,Ratio,0.017800000000000038
ResNet50,5,ADV,4,Ratio,0.05841000000000002
ResNet50,5,ADV,8,Ratio,0.128
ResNet50,5,ADV,16,Ratio,0.19650999999999996
ResNet50,5,OOD,2,Ratio,0.022270000000000012
ResNet50,5,OOD,4,Ratio,0.18070999999999998
ResNet50,5,OOD,8,Ratio,0.30132000000000003
ResNet50,5,OOD,16,Ratio,0.36507
ResNet50,5,IID,2,Height,0.015070000000000028
ResNet50,5,IID,4,Height,0.019049999999999997
ResNet50,5,IID,8,Height,0.02889
ResNet50,5,IID,16,Height,0.08055000000000001
ResNet50,5,COV,2,Height,0.01371
ResNet50,5,COV,4,Height,0.015610000000000013
ResNet50,5,COV,8,Height,0.0243000000000001
ResNet50,5,COV,16,Height,0.07524999999999993
ResNet50,5,ADV,2,Height,0.0178299999999999
ResNet50,5,ADV,4,Height,0.045589999999999964
ResNet50,5,ADV,8,Height,0.16168
ResNet50,5,ADV,16,Height,0.24989000000000006
ResNet50,5,OOD,2,Height,0.04859000000000002
ResNet50,5,OOD,4,Height,0.17756
ResNet50,5,OOD,8,Height,0.22963999999999996
ResNet50,5,OOD,16,Height,0.27042
