Model,BarChartType,SamplingMethod,DownSamplingLevel,SamplingTarget,Avg_Error
VGG19,1,IID,2,Ratio,4.7306849622945136e-05
VGG19,1,IID,4,Ratio,5.4898593094100946e-05
VGG19,1,IID,8,Ratio,0.00043111756285577925
VGG19,1,IID,16,Ratio,0.01681455889199506
VGG19,1,COV,2,Ratio,5.525236153677101e-05
VGG19,1,COV,4,Ratio,4.531501376906798e-05
VGG19,1,COV,8,Ratio,4.499039393274617e-05
VGG19,1,COV,16,Ratio,0.002472717847888317
VGG19,1,ADV,2,Ratio,7.356590102467627e-05
VGG19,1,ADV,4,Ratio,0.006934573327757558
VGG19,1,ADV,8,Ratio,0.010477425861668247
VGG19,1,ADV,16,Ratio,0.05449982860297164
VGG19,1,OOD,2,Ratio,0.005471924745316753
VGG19,1,OOD,4,Ratio,0.04890035057935676
VGG19,1,OOD,8,Ratio,0.06607376797492395
VGG19,1,OOD,16,Ratio,0.06578273398443553
VGG19,1,IID,2,Height,0.00016261902754495454
VGG19,1,IID,4,Height,0.0012025188352002077
VGG19,1,IID,8,Height,0.0035607758904838277
VGG19,1,IID,16,Height,0.0043102319474976865
VGG19,1,COV,2,Height,5.054008711089784e-05
VGG19,1,COV,4,Height,6.352816964536349e-05
VGG19,1,COV,8,Height,0.00025934480718282227
VGG19,1,COV,16,Height,0.0007008575993208124
VGG19,1,ADV,2,Height,0.001079414951394453
VGG19,1,ADV,4,Height,0.002760273241697935
VGG19,1,ADV,8,Height,0.04506464791475303
VGG19,1,ADV,16,Height,0.03729760616959003
VGG19,1,OOD,2,Height,0.0030752445959920695
VGG19,1,OOD,4,Height,0.013993766209457099
VGG19,1,OOD,8,Height,0.026912007787227653
VGG19,1,OOD,16,Height,0.03108038068086776
ResNet50,1,IID,2,Ratio,0.00012113624748880763
ResNet50,1,IID,4,Ratio,0.00017370891981278942
ResNet50,1,IID,8,Ratio,0.00111754712552735
ResNet50,1,IID,16,Ratio,0.018524336439140542
ResNet50,1,COV,2,Ratio,0.0001235234331196619
ResNet50,1,COV,4,Ratio,0.00015969857116770545
ResNet50,1,COV,8,Ratio,0.0001865986027576033
ResNet50,1,COV,16,Ratio,0.007799047573064948
ResNet50,1,ADV,2,Ratio,0.00016906207538062298
ResNet50,1,ADV,4,Ratio,0.012419046419755548
ResNet50,1,ADV,8,Ratio,0.025717526135829085
ResNet50,1,ADV,16,Ratio,0.05153432365013832
ResNet50,1,OOD,2,Ratio,0.012265791838682594
ResNet50,1,OOD,4,Ratio,0.04570648624947539
ResNet50,1,OOD,8,Ratio,0.0584842333375383
ResNet50,1,OOD,16,Ratio,0.06422520344630711
ResNet50,1,IID,2,Height,0.0004273652929730387
ResNet50,1,IID,4,Height,0.0020568848688482717
ResNet50,1,IID,8,Height,0.002581823940442015
ResNet50,1,IID,16,Height,0.00720353279280068
ResNet50,1,COV,2,Height,0.00024080002332061838
ResNet50,1,COV,4,Height,0.00025877684369833895
ResNet50,1,COV,8,Height,0.0006358293033484775
